Unnamed: 0;apt;cluster;rwy;trajectory;Lat;Lon;x (m);y (m)
187;JAI;0;27;7;26.6450533243257;75.77495674615572;-3708.3275228417865;-19849.043203506906
188;JAI;0;27;7;26.63013766431928;75.77390470868339;-3813.5722268939367;-21501.678320173756
189;JAI;0;27;7;26.61579251213431;75.77157676732006;-4045.892809243355;-23091.05976482634
190;JAI;0;27;7;26.60146345628687;75.76943889763893;-4259.339335523248;-24678.659830181485
191;JAI;0;27;7;26.58721698469327;75.76750544792266;-4452.4726789366;-26257.11306979824
192;JAI;0;27;8;26.826225;75.83337222;2104.4681153060433;224.54698071859877
193;JAI;0;27;8;26.82373394888889;75.80685863888887;-531.1791275734882;-51.627640652433556
194;JAI;0;27;8;26.82291731433849;75.80071709288715;-1141.7133423699042;-142.07091046088254
195;JAI;0;27;8;26.82013890333571;75.78623360777205;-2581.5779540736676;-449.70859348601863
196;JAI;0;27;8;26.81183621277215;75.77709216125581;-3490.6046864235027;-1369.4343663549266
197;JAI;0;27;8;26.800062597830056;75.7739327935877;-3805.1008155002814;-2673.8689669279593
198;JAI;0;27;8;26.787400352067966;75.77425800753696;-3773.184118302931;-4076.865012150555
199;JAI;0;27;8;26.77549060079485;75.77509718324634;-3690.121378096963;-5396.499071375493
200;JAI;0;27;8;26.764133207334446;75.77635161009344;-3565.722342842845;-6654.942663382051
201;JAI;0;27;8;26.75340870247603;75.77732344838657;-3469.3885728541386;-7843.252807649535
202;JAI;0;27;8;26.7422960032053;75.77850279309739;-3352.405309675838;-9074.579954321734
203;JAI;0;27;8;26.730354207188658;75.78053801202036;-3150.2712074379333;-10397.792106754969
204;JAI;0;27;8;26.71937811731255;75.7823559502584;-2969.689198958407;-11613.994994659923
205;JAI;0;27;8;26.70925963673645;75.78303126678846;-2902.752615536768;-12735.145911874291
206;JAI;0;27;8;26.70472163503829;75.78304336849834;-2901.66385674518;-13237.96020283277
207;JAI;0;27;8;26.699039993277093;75.78236077781744;-2969.7384814889406;-13867.474599206016
208;JAI;0;27;8;26.68788215862043;75.78000993914348;-3204.0026750625966;-15103.71387531523
209;JAI;0;27;8;26.6754064541366;75.77541320417029;-3661.9057811784505;-16485.90688150193
210;JAI;0;27;8;26.66234859674937;75.77043232047059;-4158.172010361949;-17932.57368024417
211;JAI;0;27;8;26.648972323960038;75.7655724036817;-4642.521074892381;-19414.506024626953
212;JAI;0;27;8;26.635632229307017;75.76037100884291;-5160.984076482355;-20892.39731500378
213;JAI;0;27;8;26.622354241327912;75.75496300886711;-5700.139842995427;-22363.376514071417
214;JAI;0;27;8;26.609023171172762;75.74972109716444;-6222.882019212458;-23840.222331086836
